id	title	milestone	type	priority	goal	scope	acceptance
S2-T1	Dexie setup with versioning and migration strategy	S2 - Dexie Data Layer	tech-task	p0	Establish an offline database foundation that supports schema evolution without data loss.	Create Dexie database service and table definitions;Define schema versioning policy and migration hooks;Document migration strategy for future model changes;Validate DB initialization lifecycle in app startup	Dexie instance initializes successfully on app start;Version upgrades run without runtime errors;Migration path is documented in project docs;No data loss on compatible schema upgrade
S2-T2	Repositories for Transactions Rules Budgets Settings	S2 - Dexie Data Layer	feature	p0	Implement repository abstraction to isolate storage access from feature logic.	Create repository contracts and concrete Dexie implementations;Implement TransactionsRepo RulesRepo BudgetsRepo SettingsRepo;Ensure typed methods for list get create update delete;Keep repositories independent from UI concerns	All four repositories compile and are injectable;CRUD methods return typed results;Feature code can consume repositories without touching Dexie directly;Repository boundaries follow core architecture rules
S2-T3	Initial seed data for rules and demo transactions	S2 - Dexie Data Layer	feature	p1	Provide deterministic initial data for local development and functional demos.	Define seed payload for base rules and sample transactions;Implement idempotent seed routine with version safety;Add opt in trigger for seeding in dev context;Document how to reset and reseed local database	Seed runs without duplicate records on repeated execution;Sample data appears in UI flows after seeding;Seed can be disabled in production runtime;Reseed instructions are documented
S2-T4	Base transaction CRUD with validation	S2 - Dexie Data Layer	feature	p0	Enable core create read update delete operations for transactions.	Implement create and read list by date;Implement update and delete by id;Add input validation guards for required fields and type;Return predictable errors for invalid operations	User can create edit delete transaction in local store;Invalid payloads are rejected safely;Read operations support deterministic ordering;CRUD behavior survives app reload
S2-T5	Repository unit tests happy edge failure	S2 - Dexie Data Layer	tech-task	p0	Guarantee repository reliability through baseline automated tests.	Add unit tests per repository for normal flow;Add edge tests for empty datasets and missing records;Add failure tests for invalid input and operation errors;Include test fixtures and cleanup utilities	Test suite covers happy edge and error paths;Tests run deterministically without shared state;Coverage includes all critical repository methods;CI passes with repository tests enabled
S3-T1	History page UI and route integration	S3 - History	feature	p0	Deliver the history screen baseline integrated in navigation.	Create History page structure and route setup;Implement list container and summary header area;Connect page to layout shell and tab activation;Add loading and empty placeholders	History route is accessible from tabs;Page renders correctly on mobile layout;Loading and empty states are visible when applicable;No navigation regressions introduced
S3-T2	Connect history list to repositories and store	S3 - History	feature	p0	Bind history UI to real local data with reactive state flow.	Create history feature store for list state;Load data from TransactionsRepo into store;Map entities into view models for rendering;Handle refresh and initial load lifecycle	History list displays real transaction data;Store remains source of truth for page state;Data refresh updates UI without reload;Errors are captured into error state
S3-T3	Reactive filters by owner category type and date range	S3 - History	feature	p1	Enable practical filtering controls for fast transaction exploration.	Add filter model in history store;Implement owner category type date range filter logic;Apply filters reactively with computed selectors;Show active filter indicators and reset action	Filter changes update results immediately;Combined filters produce correct subset;Reset returns complete list state;Filter logic is covered by unit tests
S3-T4	Edit and delete transactions from history	S3 - History	feature	p1	Allow users to correct and remove transactions directly from history.	Add edit action and inline or modal editing flow;Add delete action with confirmation step;Persist changes through repository updates;Refresh list state after operations	Edited transactions reflect updated values in list;Delete removes transaction and updates totals;Confirmation prevents accidental deletion;Error state is shown on failed operations
S3-T5	Performance validation with 1000 records	S3 - History	tech-task	p1	Validate user experience remains fluid for realistic local datasets.	Generate test dataset with at least 1000 transactions;Profile render and filtering interactions;Optimize list rendering strategy and trackBy usage;Document performance findings and thresholds	List remains responsive with 1000 records;Filter interaction remains near instant in normal device profile;No major frame drops on scroll;Performance notes are documented in ticket outcome
S4-T1	Rules management UI CRUD	S4 - Rules Engine	feature	p0	Provide full interface to manage categorization rules.	Build rules list create edit delete flows;Support color name owner and keywords fields;Validate required inputs and duplicate prevention;Integrate with rules repository and store	Users can create edit delete rules;Validation messages appear for invalid input;Rules list updates immediately after changes;State persists across reload
S4-T2	Keyword matching engine for rule assignment	S4 - Rules Engine	feature	p0	Create deterministic keyword based matching for automatic categorization.	Implement matching utility with normalization rules;Define precedence and tie breaker behavior;Support multi keyword matching per rule;Expose matcher through service for reuse	Matcher assigns expected rule for known inputs;Precedence behavior is deterministic;No uncaught errors on empty or malformed descriptions;Unit tests cover matching edge cases
S4-T3	Auto apply matching rule on transaction creation	S4 - Rules Engine	feature	p0	Apply categorization automatically when new transactions are added.	Hook matching engine into transaction creation flow;Fallback gracefully when no rule matches;Persist assigned ruleId in transaction record;Emit state update for immediate UI reflection	New matching transaction receives ruleId automatically;No match case still creates transaction safely;History and dashboard reflect assigned category;Creation flow remains performant
S4-T4	Manual override rule assignment from history	S4 - Rules Engine	feature	p1	Allow users to override automatic categorization when needed.	Add UI action to change transaction rule;Update repository and refresh dependent views;Log override reason optionally in state metadata;Keep UX quick with minimal taps	User can reassign a transaction category manually;Updated rule persists and is visible after reload;Totals and charts update after reassignment;No regression in standard edit flow
S4-T5	Rule matching tests and precedence coverage	S4 - Rules Engine	tech-task	p0	Ensure matching behavior remains stable as rules evolve.	Add unit tests for exact match partial match and no match;Add precedence tests for competing rules;Add tests for case insensitivity and symbol noise;Document matcher assumptions in test descriptions	Test suite protects precedence contract;Known edge cases are covered by tests;Any matcher regression fails tests clearly;CI remains green with new suite
S5-T1	Budget UI per rule	S5 - Budget Engine	feature	p0	Expose budget management for each rule category.	Create budget list and editor linked to rules;Support amount and period selection;Show current spent versus configured budget;Add empty state when no budgets configured	Users can create and edit budget entries by rule;Budget rows show configured amount and period;UI handles empty and loading states;Data persists locally
S5-T2	Spent aggregation by monthly quarterly yearly period	S5 - Budget Engine	feature	p0	Compute spent values accurately for configured budget periods.	Implement aggregation service by rule and period;Handle month quarter year boundaries correctly;Support timezone safe date comparisons;Expose derived values to budget store	Spent values are correct for each period type;Boundary dates are included correctly;Computation is deterministic for same dataset;Aggregation tests cover period transitions
S5-T3	Usage percent progress and over budget indicator	S5 - Budget Engine	feature	p1	Provide clear visual indicators of budget usage and exceed state.	Compute usage percent from spent and budget amount;Render progress bars and labels;Highlight over budget state with tokenized colors;Expose values for dashboard reuse	Usage percentage is accurate for normal and edge values;Over budget state is clearly indicated;Zero budget or missing values handled safely;UI remains readable in light and dark themes
S5-T4	Threshold alerts at 80 and 100 percent	S5 - Budget Engine	feature	p1	Notify users when spending approaches or exceeds budget limits.	Implement threshold check utility;Trigger alert state at 80 and 100 percent;Avoid duplicate repeated alerts for same threshold;Show alert messages in budget and dashboard contexts	80 and 100 thresholds trigger correctly;Alerts are not spammed repeatedly;Alert state clears or updates when data changes;Threshold logic is unit tested
S6-T1	Total spent remaining and savings metrics	S6 - Real Dashboard	feature	p0	Build top level financial KPIs from real transaction data.	Compute total spent and remaining balance for period;Compute savings metric according to defined formula;Expose metrics through dashboard store selectors;Render metrics cards on dashboard	Dashboard cards show live values from repository data;Metric formulas are documented and tested;Values update after transaction changes;No hardcoded mock totals remain
S6-T2	Month over month comparison metrics	S6 - Real Dashboard	feature	p1	Provide context by comparing current period against previous period.	Compute previous period totals and deltas;Calculate percentage change with safe zero handling;Render trend indicators positive negative neutral;Expose comparison text for insight cards	Comparison values are mathematically correct;Zero baseline does not cause invalid percentages;Trend indicator matches delta sign;Tests cover positive negative and flat cases
S6-T3	ApexCharts integration for trend and category views	S6 - Real Dashboard	feature	p1	Integrate charting with real data for visual analysis.	Add chart adapter layer mapping store data to chart series;Implement trend chart and category distribution chart;Support theme aware chart colors using tokens;Handle no data state gracefully	Charts render with real transaction data;Theme switch updates chart styling correctly;No data state is displayed when dataset empty;Chart config remains isolated from page template logic
S6-T4	Dashboard empty loading and error states	S6 - Real Dashboard	tech-task	p1	Make dashboard resilient and clear across all runtime states.	Define dashboard UI state model;Render explicit loading skeletons and empty placeholders;Render recoverable error messages and retry action;Ensure states are accessible and consistent	Each state loading empty error is visible when triggered;Retry flow reattempts data load;No blank or ambiguous screens remain;State transitions are tested
S7-T1	Feature flags splitModeEnabled and splitType	S7 - Split Mode	tech-task	p0	Introduce controlled rollout mechanism for split functionality.	Add settings fields splitModeEnabled and splitType;Expose flags in settings store and repositories;Gate split specific UI and calculations behind flags;Persist flags locally with defaults	Split features remain hidden when flag disabled;Changing flags updates behavior without restart;Defaults are stable on fresh install;Flag state persists after reload
S7-T2	Equal and proportional split calculation engine	S7 - Split Mode	feature	p0	Implement core math for shared spending allocation modes.	Implement equal split formula;Implement proportional split using income inputs;Handle missing partner income and zero total income safely;Expose calculator API for dashboard and reports	Equal mode produces 50 and 50 allocation;Proportional mode matches configured income shares;Edge cases do not crash and return safe values;Calculation tests cover common and edge inputs
S7-T3	Owner aware totals balances and contribution views	S7 - Split Mode	feature	p1	Provide transparent contribution and balance outputs per owner.	Aggregate totals by self partner joint owners;Compute contribution versus expected split;Render owner breakdown cards and totals;Update metrics after transaction edits	Owner totals are correct and consistent with raw data;Contribution gaps are visible and interpretable;UI updates reactively after data changes;Tests validate owner aggregation logic
S7-T4	Split specific dashboard widgets	S7 - Split Mode	feature	p2	Present split mode insights directly in dashboard experience.	Add couple split summary widget;Add progress visualization for mine partner shared;Use feature flags to show or hide widgets;Reuse existing token and chart styles	Widgets appear only when split mode enabled;Values align with split calculation engine;Layout remains stable in both themes;No regression for single user mode
S8-T1	Monthly and quarterly report generation pipeline	S8 - Reports	feature	p0	Create report data pipeline that can feed multiple export formats.	Build report builder service for monthly and quarterly ranges;Include totals category breakdown and owner breakdown;Normalize report payload for PDF and Excel exporters;Validate report data against dashboard metrics	Report payload generated for monthly and quarterly modes;Payload values match source metrics;Builder handles empty data safely;Unit tests cover range and aggregation logic
S8-T2	PDF export implementation	S8 - Reports	feature	p1	Export finance summaries into portable PDF format.	Select PDF library and integrate export service;Render report header summary tables and totals;Support basic branding and date metadata;Handle export errors and user feedback	PDF file is generated and downloadable;Generated PDF contains expected sections and values;File opens correctly on common viewers;Errors are surfaced without app crash
S8-T3	Excel export implementation	S8 - Reports	feature	p1	Provide spreadsheet export for advanced user analysis.	Integrate XLSX export utility;Create sheets for summary and transactions;Format numeric columns and date values consistently;Support owner and rule breakdown tabs	Excel file is generated and downloadable;Sheet structure matches specification;Numeric and date formats are readable;Export includes all required breakdown data
S8-T4	Report breakdown by rule and owner	S8 - Reports	feature	p1	Deliver detailed analytical sections in report outputs.	Compute rule level totals and percentages;Compute owner level totals and percentages;Include these sections in both PDF and Excel outputs;Validate breakdown totals reconcile to global totals	Rule and owner breakdown sections are present;Breakdown totals reconcile exactly with report totals;No missing categories in output;Tests validate reconciliation logic
S9-T1	Spending anomaly detector baseline	S9 - Insights v1	feature	p1	Create first anomaly detection logic for unusual spending.	Define baseline anomaly heuristics per rule and period;Implement detector service with configurable thresholds;Generate anomaly insights payload for UI cards;Avoid noisy duplicates for same period	Detector flags obvious anomalies on sample data;Threshold configuration is documented;Duplicate alerts are reduced by design;Tests cover normal and anomalous patterns
S9-T2	Financial health score v1	S9 - Insights v1	feature	p1	Provide a single interpretable score from core financial signals.	Define score formula and weighted factors;Implement score calculator service;Expose score and factor breakdown to dashboard;Document formula assumptions and limitations	Score computes consistently for same inputs;Factor breakdown is visible and understandable;Edge inputs produce safe bounded score;Formula and tests are committed
S9-T3	Insight cards integration in dashboard	S9 - Insights v1	feature	p1	Expose generated insights to users through actionable cards.	Create insight card UI component and list container;Bind detector and score outputs to card view models;Add severity and action hint metadata;Handle empty state when no insights available	Insights render on dashboard when present;Cards remain hidden or empty state shown when none;Card content reflects latest calculations;No layout regressions in dashboard
S10-T1	End of month spending projection	S10 - Forecasting	feature	p1	Estimate month end spending using current trend and historical behavior.	Define projection algorithm baseline;Implement projection service and store integration;Display projected total and variance to budget;Handle early month low data scenarios	Projection value is produced for active month;Algorithm handles sparse data without invalid output;Projected variance is shown clearly;Tests cover multiple month progress scenarios
S10-T2	Savings goal forecast and gap calculation	S10 - Forecasting	feature	p1	Estimate whether user will reach configured savings target.	Add savings goal model in settings;Compute forecasted savings and target gap;Render goal progress and risk indicator;Support owner aware logic if split mode enabled	Savings forecast updates with transaction changes;Gap calculation is accurate and explained;Goal progress UI handles no goal case;Tests cover reached and not reached paths
S10-T3	What changed indicators for forecast explainability	S10 - Forecasting	feature	p2	Improve trust by explaining drivers behind forecast changes.	Track period over period metric deltas;Generate top drivers for increase and decrease;Render concise what changed indicators in UI;Avoid technical jargon in user facing text	Indicators appear when forecast changes meaningfully;Driver list aligns with underlying metric deltas;No indicator shown when change is negligible;Text remains concise and understandable
S11-T1	Accessibility audit and remediation	S11 - Quality Hardening	tech-task	p0	Bring critical flows to acceptable accessibility baseline before beta.	Audit key screens for semantic labels focus and contrast;Fix keyboard navigation and screen reader gaps;Validate touch target sizes on mobile;Document unresolved items and mitigation plan	Critical screens pass internal a11y checklist;Major focus and label issues are fixed;Contrast problems resolved in light and dark themes;Accessibility report is attached to ticket
S11-T2	Performance profiling and optimization pass	S11 - Quality Hardening	tech-task	p1	Reduce runtime bottlenecks and preserve smooth mobile UX.	Profile startup navigation list rendering and charts;Optimize hot paths and avoid expensive recomputation;Add trackBy and memoized selectors where needed;Document before and after measurements	Measured regressions are addressed;Key interactions feel responsive on target devices;Improvements are quantified in ticket notes;No functional regressions introduced by optimizations
S11-T3	Error boundary and offline resilience review	S11 - Quality Hardening	tech-task	p1	Strengthen failure handling for offline first scenarios.	Review error states across core pages;Implement recoverable fallback and retry patterns;Validate behavior when storage operations fail;Add monitoring hooks for critical failure points	App remains usable when non critical failures occur;Retry flows recover from transient errors;Offline behavior remains predictable;Error handling tests cover representative failures
S11-T4	E2E critical path tests	S11 - Quality Hardening	tech-task	p0	Protect core business flows with end to end automation.	Define critical journeys create transaction apply rule view dashboard;Implement E2E tests for those journeys;Add test data setup and teardown strategy;Integrate E2E execution in CI pipeline or nightly	Critical paths have stable E2E coverage;Tests pass reliably in CI environment;Failing critical flow blocks release readiness;Test docs describe how to run locally
S12-T1	Contributor onboarding docs refinement	S12 - OSS Beta Readiness	docs	p1	Improve onboarding quality for external contributors before beta.	Review and refine README CONTRIBUTING SECURITY and architecture docs;Add setup troubleshooting section and common mistakes;Add contribution workflow diagram or sequence;Validate links and references	New contributor can set up project from docs only;Broken or outdated links are removed;Contribution flow is clear and actionable;Docs review checklist completed
S12-T2	Good first issues curation and labeling	S12 - OSS Beta Readiness	docs	p1	Create an approachable entry point for external participation.	Select low risk scoped tasks from backlog;Add clear context and acceptance criteria to each;Apply good first issue and help wanted labels;Ensure at least one issue per active module	A curated set of beginner friendly issues is published;Issues include enough context to start without private knowledge;Labels are consistent across curated issues;Maintainers can triage newcomer PRs efficiently
S12-T3	Changelog and release process baseline	S12 - OSS Beta Readiness	tech-task	p1	Define repeatable release management for beta and beyond.	Add changelog strategy and versioning policy;Define release checklist and tag conventions;Document branch and merge expectations for releases;Align release notes structure with roadmap phases	Release process is documented and versioned;Changelog format is consistent and maintainable;First beta release can be produced using documented process;Maintainers agree on process steps
S12-T4	OSS beta release checklist execution	S12 - OSS Beta Readiness	tech-task	p0	Execute final readiness checks and publish beta baseline.	Run full quality gates and resolve blockers;Validate milestone closure criteria;Publish beta notes with known limitations;Announce contributor entry points and roadmap next phase	All beta checklist items are completed or explicitly deferred;No blocking defects remain open for beta scope;Release notes are published with clear caveats;Project is ready for external feedback cycle
